filename,emotion_code,emotion,intensity,actor,modality,path,duration
03-01-01-01-01-01-01.wav,01,neutral,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,3.3032916666666665
03-01-01-01-01-02-01.wav,01,neutral,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,3.3366666666666664
03-01-01-01-02-01-01.wav,01,neutral,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,3.2699166666666666
03-01-01-01-02-02-01.wav,01,neutral,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,3.1698333333333335
03-01-02-01-01-01-01.wav,02,calm,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,3.5368541666666666
03-01-02-01-01-02-01.wav,02,calm,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,3.6035833333333334
03-01-02-01-02-01-01.wav,02,calm,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,3.5035
03-01-02-01-02-02-01.wav,02,calm,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,3.4701458333333335
03-01-02-02-01-01-01.wav,02,calm,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,3.703708333333333
03-01-02-02-01-02-01.wav,02,calm,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,4.004
03-01-02-02-02-01-01.wav,02,calm,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,4.204208333333334
03-01-02-02-02-02-01.wav,02,calm,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,4.004
03-01-03-01-01-01-01.wav,03,happy,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,3.4701458333333335
03-01-03-01-01-02-01.wav,03,happy,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,3.470125
03-01-03-01-02-01-01.wav,03,happy,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,3.5368541666666666
03-01-03-01-02-02-01.wav,03,happy,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,3.703708333333333
03-01-03-02-01-01-01.wav,03,happy,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,3.6703333333333332
03-01-03-02-01-02-01.wav,03,happy,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,3.6369583333333333
03-01-03-02-02-01-01.wav,03,happy,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,3.93725
03-01-03-02-02-02-01.wav,03,happy,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,3.9372708333333333
03-01-04-01-01-01-01.wav,04,sad,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,3.8371666666666666
03-01-04-01-01-02-01.wav,04,sad,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,3.5702291666666666
03-01-04-01-02-01-01.wav,04,sad,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,3.5035
03-01-04-01-02-02-01.wav,04,sad,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,3.370041666666667
03-01-04-02-01-01-01.wav,04,sad,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,3.8037916666666667
03-01-04-02-01-02-01.wav,04,sad,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,3.703708333333333
03-01-04-02-02-01-01.wav,04,sad,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,3.7370833333333335
03-01-04-02-02-02-01.wav,04,sad,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,3.7370625
03-01-05-01-01-01-01.wav,05,angry,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,3.8705416666666665
03-01-05-01-01-02-01.wav,05,angry,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,3.9372708333333333
03-01-05-01-02-01-01.wav,05,angry,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,3.5035
03-01-05-01-02-02-01.wav,05,angry,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,3.7370625
03-01-05-02-01-01-01.wav,05,angry,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,4.104104166666667
03-01-05-02-01-02-01.wav,05,angry,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,4.371041666666667
03-01-05-02-02-01-01.wav,05,angry,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,4.137458333333333
03-01-05-02-02-02-01.wav,05,angry,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,4.437770833333333
03-01-06-01-01-01-01.wav,06,fearful,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,3.6703333333333332
03-01-06-01-01-02-01.wav,06,fearful,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,3.636979166666667
03-01-06-01-02-01-01.wav,06,fearful,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,3.4367708333333336
03-01-06-01-02-02-01.wav,06,fearful,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,3.7036875
03-01-06-02-01-01-01.wav,06,fearful,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,5.005
03-01-06-02-01-02-01.wav,06,fearful,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,4.2375625
03-01-06-02-02-01-01.wav,06,fearful,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,3.970625
03-01-06-02-02-02-01.wav,06,fearful,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,3.9039166666666665
03-01-07-01-01-01-01.wav,07,disgust,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,3.8705208333333334
03-01-07-01-01-02-01.wav,07,disgust,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,3.9038958333333333
03-01-07-01-02-01-01.wav,07,disgust,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,3.9038958333333333
03-01-07-01-02-02-01.wav,07,disgust,normal,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,3.8371666666666666
03-01-07-02-01-01-01.wav,07,disgust,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,4.304291666666667
03-01-07-02-01-02-01.wav,07,disgust,strong,1,speech,Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,4.104104166666667
